epoch: 0 | step: 4250 | train_loss: 0.475212 | train_acc: 0.761368
epoch: 0 | step: 4300 | train_loss: 0.474603 | train_acc: 0.761730
epoch: 0 | step: 4350 | train_loss: 0.474191 | train_acc: 0.762040
epoch: 0 | step: 4400 | train_loss: 0.473681 | train_acc: 0.762514
epoch: 0 | step: 4450 | train_loss: 0.472891 | train_acc: 0.763090
epoch: 0 | step: 4500 | train_loss: 0.472285 | train_acc: 0.763583
epoch: 0 | step: 4550 | train_loss: 0.472022 | train_acc: 0.763681
epoch: 0 | step: 4600 | train_loss: 0.471985 | train_acc: 0.763750
epoch: 0 | step: 4650 | train_loss: 0.472237 | train_acc: 0.763777
epoch: 0 | step: 4700 | train_loss: 0.472496 | train_acc: 0.763577
epoch: 0 | step: 4750 | train_loss: 0.472026 | train_acc: 0.763868
epoch: 0 | step: 4800 | train_loss: 0.471752 | train_acc: 0.764102
epoch: 0 | step: 4850 | train_loss: 0.471236 | train_acc: 0.764588
epoch: 0 | step: 4900 | train_loss: 0.470830 | train_acc: 0.764834
epoch: 0 | step: 4950 | train_loss: 0.470368 | train_acc: 0.765265
epoch: 0 | step: 5000 | train_loss: 0.469837 | train_acc: 0.765737
epoch: 0 | step: 5050 | train_loss: 0.469515 | train_acc: 0.766040
epoch: 0 | step: 5100 | train_loss: 0.469223 | train_acc: 0.766287
epoch: 0 | step: 5150 | train_loss: 0.469049 | train_acc: 0.766456
epoch: 0 | step: 5200 | train_loss: 0.468790 | train_acc: 0.766550
epoch: 0 | step: 5250 | train_loss: 0.468320 | train_acc: 0.766893
epoch: 0 | step: 5300 | train_loss: 0.468015 | train_acc: 0.767099
epoch: 0 | step: 5350 | train_loss: 0.467356 | train_acc: 0.767593
epoch: 0 | step: 5400 | train_loss: 0.466996 | train_acc: 0.767836
epoch: 0 | step: 5450 | train_loss: 0.466481 | train_acc: 0.768245
epoch: 0 | step: 5500 | train_loss: 0.466196 | train_acc: 0.768523
epoch: 0 | step: 5550 | train_loss: 0.466051 | train_acc: 0.768716
epoch: 0 | step: 5600 | train_loss: 0.465661 | train_acc: 0.768962
epoch: 0 | step: 5650 | train_loss: 0.465025 | train_acc: 0.769403
epoch: 0 | step: 5700 | train_loss: 0.464510 | train_acc: 0.769825
epoch: 0 | step: 5750 | train_loss: 0.463918 | train_acc: 0.770250
epoch: 0 | step: 5800 | train_loss: 0.463565 | train_acc: 0.770506
epoch: 0 | step: 5850 | train_loss: 0.463163 | train_acc: 0.770780
epoch: 0 | step: 5900 | train_loss: 0.462745 | train_acc: 0.771123
epoch: 0 | step: 5950 | train_loss: 0.462248 | train_acc: 0.771555
epoch: 0 | train_loss: 0.462041 | train_acc: 0.771761 | valid_loss: 0.417427 | valid_acc: 0.801790
epoch: 1 | step: 50 | train_loss: 0.374773 | train_acc: 0.836250
epoch: 1 | step: 100 | train_loss: 0.390684 | train_acc: 0.823125
epoch: 1 | step: 150 | train_loss: 0.390751 | train_acc: 0.822917
epoch: 1 | step: 200 | train_loss: 0.397748 | train_acc: 0.818438
epoch: 1 | step: 250 | train_loss: 0.402116 | train_acc: 0.816250
epoch: 1 | step: 300 | train_loss: 0.405396 | train_acc: 0.813958
epoch: 1 | step: 350 | train_loss: 0.404854 | train_acc: 0.813750
